# Object	D	S(shell_mosaicf658)	sigma(shell_mosaicf658)	S(shell_mosaicf656)	sigma(shell_mosaicf656)	S(Bg_mosaicf658)	sigma(Bg_mosaicf658)	S(Bg_mosaicf656)	sigma(Bg_mosaicf656)	S(shell_NII/Halpha)	sigma(shell_NII/Halpha)	S(Bg_NII/Halpha)	sigma(Bg_NII/Halpha)
w073-227	147.268	0.00065	0.00007	0.00212	0.00020	0.00533	0.00005	0.02506	0.00014	0.30592	0.04265	0.21267	0.00223
121-434	95.578	0.00019	0.00006	0.00134	0.00026	0.00837	0.00004	0.04457	0.00019	0.14393	0.05442	0.18788	0.00126
158-323	8.310	0.00130	0.00043	0.01306	0.00086	0.03789	0.00030	0.15665	0.00060	0.09989	0.03365	0.24190	0.00216
161-324	5.360	0.00049	0.00013	0.00917	0.00064	0.03539	0.00009	0.13711	0.00045	0.05316	0.01435	0.25808	0.00108
168-326	7.712	-0.00171	0.00116	0.00826	0.00256	0.03209	0.00082	0.14380	0.00181	-0.20686	0.15460	0.22314	0.00637
168-326N	7.493	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
173-342	23.461	0.00049	0.00004	0.00683	0.00050	0.01246	0.00003	0.09042	0.00035	0.07121	0.00817	0.13779	0.00063
167-317	8.058	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
154-225	59.219	0.00106	0.00009	0.00775	0.00067	0.01959	0.00006	0.09367	0.00047	0.13709	0.01660	0.20914	0.00126
109-246	89.677	0.00124	0.00008	0.00786	0.00035	0.01634	0.00006	0.08381	0.00025	0.15796	0.01277	0.19495	0.00091
173-236	48.956	0.00639	0.00034	0.01461	0.00089	0.02767	0.00024	0.15484	0.00063	0.43738	0.03549	0.17871	0.00173
154-240	45.303	0.00185	0.00020	0.00358	0.00085	0.02024	0.00014	0.13179	0.00060	0.51695	0.13397	0.15357	0.00127
163-222	61.071	-0.00133	0.00021	-0.00384	0.00048	0.02628	0.00015	0.10315	0.00034	0.34532	0.06997	0.25482	0.00167
166-316	7.307	-0.00055	0.00023	0.00218	0.00090	0.03310	0.00016	0.17053	0.00063	-0.25411	0.14810	0.19412	0.00119
159-221	61.862	-0.00057	0.00011	-0.00080	0.00021	0.02923	0.00008	0.09881	0.00015	0.71058	0.23375	0.29578	0.00092
w030-524	234.087	0.00000	0.00003	0.00000	0.00007	0.00314	0.00002	0.01287	0.00005	0.94166	15.36740	0.24389	0.00178
065-502	177.288	0.00016	0.00002	0.00082	0.00008	0.00354	0.00001	0.02188	0.00005	0.19901	0.02786	0.16168	0.00068
165-235	47.325	0.00526	0.00018	0.00245	0.00041	0.01852	0.00013	0.12461	0.00029	2.14464	0.36966	0.14863	0.00107
117-421	92.066	-0.00018	0.00008	-0.00037	0.00026	0.01310	0.00006	0.05682	0.00018	0.48061	0.39262	0.23057	0.00124
w012-407	231.470	0.00009	0.00001	0.00042	0.00004	0.00195	0.00001	0.00849	0.00003	0.21071	0.04040	0.22918	0.00144
w014-414	229.954	0.00007	0.00002	0.00042	0.00004	0.00177	0.00001	0.00794	0.00003	0.15759	0.04192	0.22268	0.00169
163-317	6.287	-0.00002	0.00010	0.00234	0.00057	0.03285	0.00007	0.16158	0.00040	-0.01002	0.04222	0.20329	0.00066
083-435	140.892	0.00008	0.00002	0.00013	0.00004	0.00451	0.00001	0.02958	0.00003	0.57545	0.20237	0.15238	0.00039
189-329	37.556	0.00360	0.00020	0.02089	0.00129	0.01377	0.00014	0.09629	0.00091	0.17242	0.01425	0.14298	0.00199
LL1	198.626	0.00295	0.00002	0.00673	0.00009	0.00324	0.00002	0.01854	0.00006	0.43894	0.00670	0.17457	0.00110
w044-527	217.945	0.00018	0.00002	0.00050	0.00007	0.00344	0.00001	0.01558	0.00005	0.35255	0.05793	0.22093	0.00105
305-811	356.860	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
261-3018	440.400	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
LL5	369.536	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
051-024	245.010	-0.00004	0.00002	0.00026	0.00014	0.00437	0.00001	0.01456	0.00010	-0.14831	0.10201	0.30017	0.00221
049-143	197.821	0.00011	0.00002	0.00038	0.00008	0.00383	0.00001	0.01663	0.00006	0.28947	0.07871	0.23034	0.00113
4578-251	279.493	-0.00006	0.00001	-0.00006	0.00012	0.00227	0.00001	0.00794	0.00009	0.91495	1.73025	0.28584	0.00333
w000-400	254.035	0.00011	0.00001	0.00035	0.00004	0.00198	0.00001	0.00724	0.00003	0.30767	0.04062	0.27277	0.00131
072-134	174.737	-0.00005	0.00006	0.00090	0.00014	0.00700	0.00004	0.02628	0.00010	-0.05768	0.06463	0.26636	0.00186
LL3	566.331	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
4468-605	471.300	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
LL4	593.107	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
w005-514	262.637	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
042-628	259.592	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
4582-635	333.372	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
041-637	267.840	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
022-635	286.472	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
203-3039	440.716	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
136-3057	456.925	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
138-3024	423.642	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
066-3251	587.491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
116-3101	463.921	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
119-3155	515.101	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
204-330	60.385	-0.00106	0.00359	0.00102	0.00441	0.01483	0.00254	0.05307	0.00312	-1.03616	5.68571	0.27943	0.05062
w266-558	218.155	0.00036	0.00003	0.00137	0.00006	0.00626	0.00002	0.02142	0.00005	0.26032	0.02253	0.29226	0.00106
212-400	80.988	0.00021	0.00009	-0.00029	0.00017	0.01060	0.00006	0.05698	0.00012	-0.72435	0.51624	0.18597	0.00114
344-3020	496.758	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
362-3137	577.964	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
LL6	485.816	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
308-3036	484.126	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
LL2	532.124	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
