# Object	RA	Dec	S(Halpha)	Density	Pressure_Shell	Flow_inner	Flow_outer
175-321	5:35:17.458	-5:23:21.06	0.02750	6326.529	1.74694486e-08	1.74694486e-08	1.74694486e-08
177-341	5:35:17.667	-5:23:40.98	0.01956	4408.283	1.21725937266e-08	1.21725937266e-08	1.21725937266e-08
178-258	5:35:17.819	-5:22:58.06	0.01029	3561.157	9.83342592647e-09	9.83342592647e-09	9.83342592647e-09
180-331	5:35:18.033	-5:23:30.82	0.04437	9467.062	2.6141405064e-08	2.6141405064e-08	2.6141405064e-08
189-329	5:35:18.868	-5:23:28.88	0.08805	8190.912	2.26175690538e-08	2.26175690538e-08	2.26175690538e-08
203-3039	5:35:20.289	-5:30:39.38	0.00005	110.864	3.0612826163e-10	3.0612826163e-10	3.0612826163e-10
206-043	5:35:20.561	-5:20:43.11	0.00064	1077.229	2.97455209991e-09	2.97455209991e-09	2.97455209991e-09
212-400	5:35:21.181	-5:24:00.46	0.00001	195.648	5.40242055432e-10	5.40242055432e-10	5.40242055432e-10
261-3018	5:35:26.16875	-5:30:18.01750	0.00010	139.078	3.84035318226e-10	3.84035318226e-10	3.84035318226e-10
305-811	5:35:30.43675	-5:28:11.23750	0.00009	278.913	7.70163211656e-10	7.70163211656e-10	7.70163211656e-10
308-3036	5:35:30.79475	-5:30:36.25250	0.00005	202.460	5.59052934268e-10	5.59052934268e-10	5.59052934268e-10
344-3020	5:35:34.36275	-5:30:20.56250	0.00004	206.923	5.71377914724e-10	5.71377914724e-10	5.71377914724e-10
362-3137	5:35:36.34775	-5:31:37.75250	0.00005	189.871	5.24290233352e-10	5.24290233352e-10	5.24290233352e-10
4285-458	5:34:28.520	-5:24:57.88	--	--	--	--	--
4468-605	5:34:46.75775	-5:26:04.81750	0.00003	142.483	3.93437783119e-10	3.93437783119e-10	3.93437783119e-10
4578-251	5:34:57.79275	-5:22:51.09500	0.00011	380.337	1.05022497416e-09	1.05022497416e-09	1.05022497416e-09
4582-635	5:34:58.16675	-5:26:35.12750	0.00008	359.115	9.9162394989e-10	9.9162394989e-10	9.9162394989e-10
LL1	5:35:05.63675	-5:25:19.44750	0.00555	1771.340	4.89120139668e-09	4.89120139668e-09	4.89120139668e-09
LL2	5:34:40.860	-5:22:42.20	0.00049	391.998	1.08242369258e-09	1.08242369258e-09	1.08242369258e-09
LL3	5:34:40.807	-5:26:38.54	0.00007	189.747	5.23948757738e-10	5.23948757738e-10	5.23948757738e-10
LL4	5:34:42.719	-5:28:37.20	0.00007	194.072	5.35892279786e-10	5.35892279786e-10	5.35892279786e-10
LL5	5:35:31.39775	-5:28:16.35750	0.00031	366.315	1.01150456383e-09	1.01150456383e-09	1.01150456383e-09
LL6	5:35:32.86575	-5:30:21.45250	0.00009	141.205	3.89910454395e-10	3.89910454395e-10	3.89910454395e-10
LL7	5:35:35.126	-5:33:49.16	--	--	--	--	--
w000-400	5:34:59.56575	-5:24:00.14500	0.00020	451.073	1.24554906609e-09	1.24554906609e-09	1.24554906609e-09
w005-514	5:35:00.471	-5:25:14.21	0.00095	1314.338	3.62928114017e-09	3.62928114017e-09	3.62928114017e-09
w005-514	5:35:00.46775	-5:25:14.29750	0.00093	1161.229	3.20650288462e-09	3.20650288462e-09	3.20650288462e-09
w012-407	5:35:01.17375	-5:24:06.67750	0.00028	415.893	1.14840445022e-09	1.14840445022e-09	1.14840445022e-09
w014-414	5:35:01.37175	-5:24:13.36750	0.00027	621.437	1.7159734912e-09	1.7159734912e-09	1.7159734912e-09
w030-524	5:35:03.00375	-5:25:24.35750	0.00024	683.938	1.88855939867e-09	1.88855939867e-09	1.88855939867e-09
w044-527	5:35:04.427	-5:25:27.39	0.00039	642.135	1.77312695266e-09	1.77312695266e-09	1.77312695266e-09
w069-601	5:35:06.90775	-5:26:00.57750	0.00090	1220.086	3.36902490959e-09	3.36902490959e-09	3.36902490959e-09
w073-227	5:35:07.26975	-5:22:26.49750	0.00276	1519.473	4.19572248865e-09	4.19572248865e-09	4.19572248865e-09
w266-558	5:35:26.618	-5:25:58.29	0.00114	907.113	2.50481117596e-09	2.50481117596e-09	2.50481117596e-09
160-350	5:35:15.958	-5:23:49.68	--	--	--	--	--
168-326N	5:35:16.835	-5:23:25.97	--	--	--	--	--
173-342	5:35:17.324	-5:23:41.39	--	--	--	--	--
162-456	5:35:16.182	-5:24:56.39	--	--	--	--	--
204-330	5:35:20.402	-5:23:30.01	0.00148	2197.212	6.06716210913e-09	6.06716210913e-09	6.06716210913e-09
066-652	5:35:06.588	-5:26:52.38	0.00122	2985.067	8.24266833615e-09	8.24266833615e-09	8.24266833615e-09
